;id_Comp_Matriz;Servicio;Ministerio;Anio;indicador1;indicador2;indicador3;indicador4;indicador5;indicador6;indicador8;indicador9;indicador10;indicador11;indicador12;indicador13;indicador14;indicador15;indicador16;indicador17;indicador18;indicador19;indicador20;indicador21;indicador22;indicador23;indicador24;indicador25;indicador26;indicador27;indicador28;indicador29;indicador30;indicador31;indicador32;indicador1_III;indicador2_III;indicador3_III;indicador4_III;indicador5_III;indicador6_III;indicador8_III;indicador9_III;indicador10_III;indicador11_III;indicador12_III;indicador13_III;indicador14_III;indicador15_III;indicador16_III;indicador17_III;indicador18_III;indicador19_III;indicador20_III;indicador21_III;indicador22_III;indicador23_III;indicador24_III;indicador25_III;indicador26_III;indicador27_III;indicador28_III;indicador29_III;indicador30_III;indicador31_III;indicador32_III;porComp;porTra;porAnom;porProm;score;Ministerio_y;Monto;Cantidad_licitaciones
1142;113812;Direccion De Logistica De Carabineros;Ministerio del interior y Seguridad pública;2022;36.2;3.0;0.0;16.263805902589173;7.337165618069072;49.88670393259916;126.15855526807799;1165.927434369014;0.016570945913059815;0.01877994657919149;2.371;0.9184303350970018;15.35920362947628;54.18426436886515;1.84;0.0;24.04100529100529;9.39;38.4;38.89;2.12;2.07;0.09;1.5;89.4;3.75;3.62;0.0;38.4;38.89;0.0;2.0;3.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;2.0;1.0;27.0;0.0;10.0;17.0;51.438449582897206;;234399035765.0;29355
1562;7079;Subsecretaria De Salud Publica;Ministerio de Salud;2022;30.7;3.0;-1.0;22.924611322968612;42.458018625797465;87.99229221859487;68.746701409689;277.23052329168;0.0210341614616426;0.00802133126713681;4.222;1.593703148425787;10.565635005336178;26.763531547659355;1.9;0.0;25.71214392803598;19.79;12.29;57.89;9.9;3.0;0.0;0.15;89.19;5.109999999999999;10.04;0.0;12.29;57.89;0.0;1.0;3.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;2.0;1.0;33.0;0.0;10.0;20.0;55.37475814381324;;224830899686.0;15517
261;7243;Ministerio De Obras Publicas Direc Cion Gral De Oo Pp Dcyf;Ministerio de Obras Públicas;2021;32.1;3.0;0.0;33.80588876772083;17.21132897603486;8.570285786156802;669.2797748202499;480.3214535965349;0.2801662166750516;0.11831744006395706;3.704;1.9487179487179487;31.84296619411123;34.14381251317865;2.49;0.0;20.192307692307693;;23.26;0.0;1.28;0.0;1.28;1.28;72.73;12.290000000000006;2.56;0.0;23.26;0.0;;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;;20.0;0.0;10.0;14.0;56.23061485130451;;203760597143.0;22963
638;113812;Direccion De Logistica De Carabineros;Ministerio del interior y Seguridad pública;2021;34.6;3.0;0.0;13.14859506981555;5.365454232028961;9.867245841515;127.68550587005699;672.974518631443;0.01152524160303877;0.018358671311784334;5.889;0.8795811518324608;17.224658458424692;41.43953529623757;1.67;0.0;23.56020942408377;8.22;41.31;22.61;2.57;2.41;0.16;1.36;85.65;5.400000000000006;4.03;0.67;41.31;22.61;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;1.0;20.0;0.0;9.0;13.0;54.845536781020655;;171439936762.0;29101
1225;1090469;Instituto De Prevision Social;Ministerio del Trabajo y Previsión Social;2022;21.2;4.0;1.0;45.33096926713948;18.498817966903072;21.629034502908645;243.390668864478;4395.1566433162525;0.09872497560235939;0.12165989291192751;4.516;2.4525547445255476;20.651541593949972;81.88038383800038;2.88;0.0;19.16058394160584;2.55;15.93;3.23;11.31;4.01;0.0;0.0;57.59;12.970000000000006;11.31;0.0;15.93;3.23;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;0.0;13.0;61.94055888603419;;162329562845.0;1917
1252;6953;Instituto De Seguridad Laboral;Ministerio del Trabajo y Previsión Social;2022;16.1;4.0;0.0;38.78241262683202;20.180383314543406;26.72158016594846;967.944918575198;1694.062730343208;0.13741517920353105;0.1288685633351999;3.196;1.8602150537634408;36.517467248908304;50.04489349618686;2.53;0.0;26.20967741935484;11.83;26.89;0.0;15.59;1.61;0.0;0.0;88.1;22.939999999999998;15.59;0.0;26.89;0.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;10.0;13.0;56.55152726234655;;156848410376.0;1850
1860;6960;Servicio De Registro Civil E Identificacion;Ministerio de Justicia y Derechos Humanos;2022;28.5;3.0;0.0;45.81304771178189;28.578383641674783;66.30471032845905;59.802717818256994;3639.224605333429;0.014957747281881867;0.09914712446153662;5.273;2.2848101265822787;11.620057859209258;75.45804594320464;2.46;0.0;18.829113924050635;3.8;20.33;52.63;6.96;5.06;5.06;0.0;60.81;9.170000000000002;11.39;0.0;20.33;52.63;0.0;1.0;3.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;0.0;13.0;56.55152726234655;;147687628530.0;2267
2046;7216;Instituto Nacional De Deportes De Chile;Ministerio del Deporte;2022;27.7;4.0;1.0;34.4376831192247;6.624605678233439;24.679376696434115;306.07770789947205;2425.419527566355;0.04822014424325453;0.03321559969385116;3.516;1.5511363636363635;24.747786699608813;72.8317103065375;2.01;0.0;21.839488636363637;25.99;20.42;28.95;5.26;1.99;0.43;0.14;75.43;11.850000000000009;5.54;0.0;20.42;28.95;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;3.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;54.1662701811146;;142592203310.0;5675
1028;111870;Comando De Apoyo A La Fuerza;Ministerio de Defensa Nacional;2021;41.0;2.0;-1.0;13.491132195661649;6.513358586705105;5.9303691382981425;63.44263043018899;64.906789803522;0.008479910931373093;0.003415290762739522;6.275;0.8863993710691824;10.884487154343988;10.81515767507099;1.57;0.0;20.45990566037736;12.11;37.34;36.73;4.25;2.36;0.63;0.16;59.67;7.780000000000001;4.76;1.02;37.34;36.73;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;20.0;0.0;0.0;10.0;59.92148830858508;;121141198584.0;43774
810;111875;Direccion De Abastecimiento De La Armada;Ministerio de Defensa Nacional;2021;40.0;3.0;-1.0;12.772159428911362;20.73098197823113;16.706708098672824;55.223936030322;45.39831781168;0.005390258816170609;0.0014212537293376278;4.86;0.9306666666666666;11.229135053110774;8.703580685543908;1.53;0.0;22.033333333333335;14.22;28.23;27.22;3.47;3.42;0.13;0.04;75.3;4.969999999999999;3.64;0.36;28.23;27.22;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;9.0;13.0;58.924731182795696;;117799641116.0;47627
1365;111875;Direccion De Abastecimiento De La Armada;Ministerio de Defensa Nacional;2022;42.2;3.0;0.0;15.222321489931964;11.213412120379278;16.247779219947386;93.828126208491;46.231892290109;0.011164948899804792;0.0010120973891785707;2.564;0.9665987780040733;14.419878693015066;7.901470057308622;1.54;0.0;23.665444172779136;15.11;28.12;23.45;3.91;1.83;0.29;0.16;83.69;8.39;4.28;0.0;28.12;23.45;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;60.367304215434395;;116093019794.0;43892
1570;111870;Comando De Apoyo A La Fuerza;Ministerio de Defensa Nacional;2022;44.0;2.0;0.0;15.30383396817486;8.691319357938571;9.118989850694991;93.814894731;42.498609162027;0.014002362775715227;0.0008317417774855433;2.98;0.8897297297297297;13.249222260629104;6.90801645966334;1.54;0.0;21.1864406779661;11.96;30.56;35.03;4.72;2.16;0.29;0.07;64.4;4.730000000000004;4.86;0.0;30.56;35.03;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;0.0;13.0;60.53224220509406;;110381574792.0;41584
728;6924;Corp Nacional Forestal;Ministerio de Agricultura;2021;33.9;3.0;0.0;30.231186600613352;24.628450106157114;17.88040174209255;42.080357937547;204.982011637137;0.003855070218182552;0.0058963484192400065;6.27;1.4605633802816902;9.318338306173972;23.510681010937688;1.73;0.0;16.12676056338028;15.07;22.25;17.0;1.83;1.83;0.14;0.14;53.4;-4.160000000000004;2.11;0.73;22.25;17.0;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;0.0;10.0;63.22922000341356;;101362753850.0;11788
2177;6958;Subsecretaria Del Ministerio De Educacion Publica;Ministerio de Educación;2022;32.5;3.0;0.0;32.18482905982906;22.622863247863247;40.025982997145995;85.26199280735601;601.40667798099;0.017652255184326348;0.008671864869332064;3.724;1.8765060240963856;13.971845809761874;42.33387746914599;1.87;0.0;24.17168674698795;11.14;17.95;0.0;4.82;3.61;0.6;0.0;85.35;12.5;5.42;0.0;17.95;0.0;0.0;1.0;3.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;62.140387604275695;;93800594146.0;8249
1351;87388;I Municipalidad De Puente Alto;Municipios;2022;23.5;5.0;1.0;34.28338762214984;20.643322475570034;9.132117873772597;52.937606620111;623.075007121611;0.005189155465659125;0.023761085660664743;6.691;1.2442396313364055;8.64448051948052;44.46696574630519;2.68;0.0;26.72811059907834;0.61;44.12;28.12;7.37;0.92;0.0;0.0;98.58;9.079999999999998;7.37;0.0;44.12;28.12;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;1.0;1.0;20.0;0.0;10.0;13.0;64.63666064008629;Municipios;88873557680.0;6026
1342;7251;Universidad De Chile;Otros;2022;31.9;3.0;0.0;16.12241739534164;16.883971060471232;37.73231224106116;90.29503437460899;51.808181672484;0.01698242834201278;0.002323436382208523;3.327;1.8670212765957446;11.887032678729888;8.711096958258123;2.22;0.0;23.670212765957448;4.79;2.44;14.63;5.85;2.13;0.0;0.0;88.71;13.709999999999994;5.85;0.0;2.44;14.63;0.0;1.0;3.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;67.63091952929236;;86221740912.0;30011
356;6960;Servicio De Registro Civil E Identificacion;Ministerio de Justicia y Derechos Humanos;2021;19.0;3.0;-1.0;41.896024464831804;24.260958205912335;10.924647191954087;49.866002814415;4174.701648406891;0.01046087714843512;0.11181410584769809;6.709;2.1496598639455784;9.858442871587462;81.39077091481478;2.66;0.0;15.646258503401361;4.08;24.73;20.0;2.04;4.08;0.68;0.0;51.64;20.240000000000002;2.72;0.0;24.73;20.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;0.0;10.0;63.06878306878308;;85678275546.0;2200
966;6925;Direccion General De Gendarmeria De Chil;Ministerio de Justicia y Derechos Humanos;2021;32.1;3.0;-1.0;10.921937835907844;6.211950394588501;15.961977075366951;81.24006573085201;148.467294367996;0.0018787314964329141;0.007973080227044833;3.095;1.6017441860465116;11.080157492013967;17.165991006765587;1.77;0.0;22.311046511627907;20.2;11.76;28.79;7.7;2.76;1.02;0.0;68.62;14.030000000000001;8.58;0.0;11.76;28.79;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;9.0;13.0;64.5331967912613;;82698843054.0;29328
1166;7342;Corp Administrativa Del Poder Judicial;Otros;2022;21.7;3.0;0.0;29.330562564939886;17.26031463342238;49.38400438597231;57.161644977217996;1075.6404905865722;0.006319935316748235;0.023384739116702913;1.471;1.7164685908319186;11.536767943637164;55.49203878591095;2.55;0.0;20.797962648556876;8.49;15.61;17.54;2.89;2.72;0.17;0.0;74.51;2.5400000000000063;3.06;0.0;15.61;17.54;0.0;1.0;3.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;59.812224442541314;;82340255250.0;7761
635;100155;I Municipalidad Lo Barnechea;Municipios;2021;25.5;4.0;-1.0;49.221789883268485;6.09597924773022;6.499445880348686;35.477131857488004;722.348122328168;0.0038251223535326014;0.028999641608913725;1.37;2.696078431372549;5.981308411214953;45.7834929069059;2.24;0.0;11.519607843137255;11.76;7.55;12.9;5.88;0.98;0.98;0.0;39.22;14.98;6.86;;7.55;12.9;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;13.0;0.0;0.0;7.0;70.06701940035273;;81911157751.0;1821
857;7251;Universidad De Chile;Otros;2021;24.0;3.0;0.0;17.478867646224543;21.33983776731522;30.250420673341083;40.972319453824;80.650916958709;0.006410699702868698;0.004309638337145524;6.118;1.7945205479452055;8.161997288748305;12.126505497457082;2.17;0.0;20.11986301369863;9.25;1.69;1.43;5.14;2.74;0.0;0.0;75.0;4.390000000000001;5.14;0.0;1.69;1.43;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;9.0;13.0;72.37412527735107;;81610531184.0;21609
1563;6925;Direccion General De Gendarmeria De Chil;Ministerio de Justicia y Derechos Humanos;2022;34.0;3.0;0.0;12.51539408866995;7.33743747595229;15.98998090856241;81.288517729674;105.35242470224901;0.0020890448539262114;0.002491717859034613;2.142;1.551454138702461;11.568560734943858;13.932069927668072;1.74;0.0;22.36842105263158;27.07;20.62;40.54;7.49;2.01;0.45;0.22;69.39;0.769999999999996;8.05;0.0;20.62;40.54;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;10.0;17.0;60.570304818092424;;81089390619.0;29004
974;6928;Junta Nacional De Jardines         Infantiles;Ministerio de Educación;2021;20.4;4.0;0.0;27.135470527404344;7.135470527404343;6.190611682825728;264.822524208956;287.99404142256896;0.04625675924495736;0.03661284534477185;3.62;1.903225806451613;24.03459372485921;25.808658585253937;2.38;0.0;10.982142857142858;14.82;29.45;43.88;4.46;1.96;0.0;0.0;33.66;17.039999999999996;4.46;2.04;29.45;43.88;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;20.0;0.0;0.0;10.0;62.932240996757116;;79701693583.0;7892
1177;6924;Corp Nacional Forestal;Ministerio de Agricultura;2022;30.1;3.0;0.0;30.896855783733614;21.948955916473317;20.621267507016405;85.032852953074;191.70915779389398;0.010641375797399598;0.004928260811210982;4.131;1.5919220055710306;14.860611510791367;22.192573096598487;1.88;0.0;19.637883008356546;16.99;29.61;33.9;4.32;1.67;0.0;0.0;67.66;14.259999999999998;4.32;0.0;29.61;33.9;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;10.0;17.0;66.47635360167476;;78083065345.0;12188
512;84152;I Municipalidad Valdivia;Municipios;2021;36.2;4.0;0.0;27.99554565701559;7.706013363028953;3.5140228340850386;54.316062336049;1197.723123557783;0.011504458019434888;0.06374107805384498;3.407;1.0247678018575852;10.034086067319983;47.785493581683326;2.07;0.0;21.74922600619195;10.11;2.75;10.2;2.48;1.03;0.1;1.03;5.29;-2.9400000000000004;3.41;0.63;2.75;10.2;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;0.0;10.0;60.365250042669395;Municipios;77787049392.0;10314
